"filename", "language", "XML", "JSON", "C#", "Razor", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\CipherFormat.cs", "C#", 0, 0, 22, 0, 0, 0, 29, 7, 58
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\Constants.cs", "C#", 0, 0, 24, 0, 0, 0, 78, 23, 125
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\DoubleParser.cs", "C#", 0, 0, 33, 0, 0, 0, 20, 9, 62
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\GlucoseClassifier.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\ProfileValidator.cs", "C#", 0, 0, 145, 0, 0, 0, 52, 30, 227
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\Validators.cs", "C#", 0, 0, 66, 0, 0, 0, 28, 17, 111
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\AccessManagementPageViewModel.cs", "C#", 0, 0, 320, 0, 0, 0, 4, 48, 372
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\AddSnackDialogViewModel.cs", "C#", 0, 0, 170, 0, 0, 0, 67, 43, 280
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\BackpackItemViewModel.cs", "C#", 0, 0, 8, 0, 0, 0, 3, 2, 13
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\BackpackPageViewModel.cs", "C#", 0, 0, 610, 0, 0, 0, 84, 159, 853
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\ChartPageViewModel.cs", "C#", 0, 0, 332, 0, 0, 0, 55, 75, 462
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\DiabetesSettingsPageViewModel.cs", "C#", 0, 0, 242, 0, 0, 0, 14, 41, 297
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\EditProfilePageViewModel.cs", "C#", 0, 0, 364, 0, 0, 0, 43, 63, 470
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\HelpAlertPageViewModel.cs", "C#", 0, 0, 128, 0, 0, 0, 28, 19, 175
